Attrition Date,Random Number,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Staff Number,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
13-Feb-21,286,29,No,Travel_Rarely,1389,Research & Development,21,Master's Degree,Life Sciences,1,20,STAFF-20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
29-Jan-21,78,32,No,Travel_Rarely,334,Research & Development,5,Associates Degree,Life Sciences,1,21,STAFF-21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
30-Apr-22,122,22,No,Non-Travel,1123,Research & Development,16,Associates Degree,Medical,1,22,STAFF-22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
13-Jan-22,39,53,No,Travel_Rarely,1219,Sales,2,Master's Degree,Life Sciences,1,23,STAFF-23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
13-Mar-21,39,38,No,Travel_Rarely,371,Research & Development,2,Bachelor's Degree,Life Sciences,1,24,STAFF-24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
25-Feb-22,65,24,No,Non-Travel,673,Research & Development,11,Associates Degree,Other,1,26,STAFF-26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
24-Apr-21,130,36,Yes,Travel_Rarely,1218,Sales,9,Master's Degree,Life Sciences,1,27,STAFF-27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
22-Mar-21,104,34,No,Travel_Rarely,419,Research & Development,7,Master's Degree,Life Sciences,1,28,STAFF-28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
26-Jun-21,208,21,No,Travel_Rarely,391,Research & Development,15,Associates Degree,Life Sciences,1,30,STAFF-30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
14-Apr-21,55,34,Yes,Travel_Rarely,699,Research & Development,6,High School,Medical,1,31,STAFF-31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
04-Mar-22,38,53,No,Travel_Rarely,1282,Research & Development,5,Bachelor's Degree,Other,1,32,STAFF-32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
23-Feb-21,225,32,Yes,Travel_Frequently,1125,Research & Development,16,High School,Life Sciences,1,33,STAFF-33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7
20-Aug-21,85,42,No,Travel_Rarely,691,Sales,8,Master's Degree,Marketing,1,35,STAFF-35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2
11-Sep-21,62,44,No,Travel_Rarely,477,Research & Development,7,Master's Degree,Medical,1,36,STAFF-36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
14-Jun-22,31,46,No,Travel_Rarely,705,Sales,2,Master's Degree,Marketing,1,38,STAFF-38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
16-Jun-22,27,33,No,Travel_Rarely,924,Research & Development,2,Bachelor's Degree,Medical,1,39,STAFF-39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0
26-Jul-21,63,44,No,Travel_Rarely,1459,Research & Development,10,Master's Degree,Other,1,40,STAFF-40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3
24-Apr-21,76,30,No,Travel_Rarely,125,Research & Development,9,Associates Degree,Medical,1,41,STAFF-41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8
12-Jan-22,93,39,Yes,Travel_Rarely,895,Sales,5,Bachelor's Degree,Technical Degree,1,42,STAFF-42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0
24-May-21,20,24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor's Degree,Medical,1,45,STAFF-45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0
29-May-22,27,43,No,Travel_Rarely,1273,Research & Development,2,Associates Degree,Medical,1,46,STAFF-46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
11-Aug-22,40,50,Yes,Travel_Rarely,869,Sales,3,Associates Degree,Marketing,1,47,STAFF-47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2
01-Jul-21,31,35,No,Travel_Rarely,890,Sales,2,Bachelor's Degree,Marketing,1,49,STAFF-49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
02-Jan-23,78,36,No,Travel_Rarely,852,Research & Development,5,Master's Degree,Life Sciences,1,51,STAFF-51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
23-Dec-22,30,33,No,Travel_Frequently,1141,Sales,1,Bachelor's Degree,Life Sciences,1,52,STAFF-52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
26-May-21,33,35,No,Travel_Rarely,464,Research & Development,4,Associates Degree,Other,1,53,STAFF-53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0
26-Aug-22,39,27,No,Travel_Rarely,1240,Research & Development,2,Master's Degree,Life Sciences,1,54,STAFF-54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0
14-Jun-21,338,26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor's Degree,Life Sciences,1,55,STAFF-55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1
12-May-22,121,27,No,Travel_Frequently,994,Sales,8,Bachelor's Degree,Life Sciences,1,56,STAFF-56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
09-Jul-21,24,30,No,Travel_Frequently,721,Research & Development,1,Associates Degree,Medical,1,57,STAFF-57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
07-Jan-23,205,41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelor's Degree,Technical Degree,1,58,STAFF-58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8
18-Nov-21,217,34,No,Non-Travel,1065,Sales,23,Master's Degree,Marketing,1,60,STAFF-60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7
18-Mar-22,260,37,No,Travel_Rarely,408,Research & Development,19,Associates Degree,Life Sciences,1,61,STAFF-61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0
15-Jul-21,62,46,No,Travel_Frequently,1211,Sales,5,Master's Degree,Marketing,1,62,STAFF-62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8
25-Nov-21,117,35,No,Travel_Rarely,1229,Research & Development,8,High School,Life Sciences,1,63,STAFF-63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1
16-Jan-23,26,48,Yes,Travel_Rarely,626,Research & Development,1,Associates Degree,Life Sciences,1,64,STAFF-64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0
22-Oct-21,93,28,Yes,Travel_Rarely,1434,Research & Development,5,Master's Degree,Technical Degree,1,65,STAFF-65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2
20-Mar-22,22,44,No,Travel_Rarely,1488,Sales,1,Doctoral Degree,Marketing,1,68,STAFF-68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3
07-Apr-21,87,35,No,Non-Travel,1097,Research & Development,11,Associates Degree,Medical,1,70,STAFF-70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
10-Aug-21,220,26,No,Travel_Rarely,1443,Sales,23,Bachelor's Degree,Marketing,1,72,STAFF-72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0
13-Oct-22,30,33,No,Travel_Frequently,515,Research & Development,1,Associates Degree,Life Sciences,1,73,STAFF-73,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12
09-Mar-21,251,35,No,Travel_Frequently,853,Sales,18,Doctoral Degree,Life Sciences,1,74,STAFF-74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
27-Nov-22,174,35,No,Travel_Rarely,1142,Research & Development,23,Master's Degree,Medical,1,75,STAFF-75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
25-Sep-21,104,31,No,Travel_Rarely,655,Research & Development,7,Master's Degree,Life Sciences,1,76,STAFF-76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7
03-Jun-21,26,37,No,Travel_Rarely,1115,Research & Development,1,Master's Degree,Life Sciences,1,77,STAFF-77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7
20-Oct-21,20,32,No,Travel_Rarely,427,Research & Development,1,Bachelor's Degree,Medical,1,78,STAFF-78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8
18-Oct-21,197,38,No,Travel_Frequently,653,Research & Development,29,Doctoral Degree,Life Sciences,1,79,STAFF-79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9
03-Nov-21,62,50,No,Travel_Rarely,989,Research & Development,7,Associates Degree,Medical,1,80,STAFF-80,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8
01-Jan-22,338,59,No,Travel_Rarely,1435,Sales,25,Bachelor's Degree,Life Sciences,1,81,STAFF-81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
21-Mar-22,141,36,No,Travel_Rarely,1223,Research & Development,8,Bachelor's Degree,Technical Degree,1,83,STAFF-83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8
08-Sep-22,69,55,No,Travel_Rarely,836,Research & Development,8,Bachelor's Degree,Medical,1,84,STAFF-84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2
23-Jun-21,160,36,No,Travel_Frequently,1195,Research & Development,11,Bachelor's Degree,Life Sciences,1,85,STAFF-85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3
19-Aug-21,104,45,No,Travel_Rarely,1339,Research & Development,7,Bachelor's Degree,Life Sciences,1,86,STAFF-86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0
10-Feb-21,24,35,No,Travel_Frequently,664,Research & Development,1,Bachelor's Degree,Medical,1,88,STAFF-88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2
09-Sep-21,76,36,Yes,Travel_Rarely,318,Research & Development,9,Bachelor's Degree,Medical,1,90,STAFF-90,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0
22-Dec-22,30,59,No,Travel_Frequently,1225,Sales,1,High School,Life Sciences,1,91,STAFF-91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3
25-Nov-21,39,29,No,Travel_Rarely,1328,Research & Development,2,Bachelor's Degree,Life Sciences,1,94,STAFF-94,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4
16-Feb-21,20,31,No,Travel_Rarely,1082,Research & Development,1,Master's Degree,Medical,1,95,STAFF-95,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0
20-Feb-21,26,32,No,Travel_Rarely,548,Research & Development,1,Bachelor's Degree,Life Sciences,1,96,STAFF-96,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9
02-Sep-22,91,36,No,Travel_Rarely,132,Research & Development,6,Bachelor's Degree,Life Sciences,1,97,STAFF-97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0
06-Jan-21,117,31,No,Travel_Rarely,746,Research & Development,8,Master's Degree,Life Sciences,1,98,STAFF-98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8
01-Jun-21,22,35,No,Travel_Rarely,776,Sales,1,Master's Degree,Marketing,1,100,STAFF-100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8
06-Oct-22,43,45,No,Travel_Rarely,193,Research & Development,6,Master's Degree,Other,1,101,STAFF-101,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0
16-Jan-22,62,37,No,Travel_Rarely,397,Research & Development,7,Master's Degree,Medical,1,102,STAFF-102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2
26-Feb-21,48,46,No,Travel_Rarely,945,Human Resources,5,Associates Degree,Medical,1,103,STAFF-103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2
06-Aug-21,26,30,No,Travel_Rarely,852,Research & Development,1,High School,Life Sciences,1,104,STAFF-104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0
29-Sep-21,20,35,No,Travel_Rarely,1214,Research & Development,1,Bachelor's Degree,Medical,1,105,STAFF-105,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
19-Mar-22,26,55,No,Travel_Rarely,111,Sales,1,Associates Degree,Life Sciences,1,106,STAFF-106,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0
12-Aug-22,52,38,No,Non-Travel,573,Research & Development,6,Bachelor's Degree,Medical,1,107,STAFF-107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9
23-Jun-21,20,34,No,Travel_Rarely,1153,Research & Development,1,Associates Degree,Medical,1,110,STAFF-110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3
27-Jul-21,104,56,No,Travel_Rarely,1400,Research & Development,7,Bachelor's Degree,Life Sciences,1,112,STAFF-112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2
05-Feb-21,45,23,No,Travel_Rarely,541,Sales,2,High School,Technical Degree,1,113,STAFF-113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0
20-Jan-22,130,51,No,Travel_Rarely,432,Research & Development,9,Master's Degree,Life Sciences,1,116,STAFF-116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3
04-Feb-22,39,30,No,Travel_Rarely,288,Research & Development,2,Bachelor's Degree,Life Sciences,1,117,STAFF-117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8
18-Apr-21,76,46,Yes,Travel_Rarely,669,Sales,9,Associates Degree,Medical,1,118,STAFF-118,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7
11-Oct-22,30,40,No,Travel_Frequently,530,Research & Development,1,Master's Degree,Life Sciences,1,119,STAFF-119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11
28-Apr-21,202,51,No,Travel_Rarely,632,Sales,21,Master's Degree,Marketing,1,120,STAFF-120,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0
01-Apr-21,41,30,No,Travel_Rarely,1334,Sales,4,Associates Degree,Medical,1,121,STAFF-121,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7
05-Feb-22,24,46,No,Travel_Frequently,638,Research & Development,1,Bachelor's Degree,Medical,1,124,STAFF-124,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5
11-Nov-21,55,32,No,Travel_Rarely,1093,Sales,6,Master's Degree,Medical,1,125,STAFF-125,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7
30-Jan-21,45,54,No,Travel_Rarely,1217,Research & Development,2,Master's Degree,Technical Degree,1,126,STAFF-126,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3
17-Jul-21,28,24,No,Travel_Rarely,1353,Sales,3,Associates Degree,Other,1,128,STAFF-128,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
16-May-21,38,28,No,Non-Travel,120,Sales,4,Bachelor's Degree,Medical,1,129,STAFF-129,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
25-Aug-21,83,58,No,Travel_Rarely,682,Sales,10,Master's Degree,Medical,1,131,STAFF-131,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8
10-Mar-21,171,44,No,Non-Travel,489,Research & Development,23,Bachelor's Degree,Medical,1,132,STAFF-132,2,Male,67,3,2,Laboratory Technician,2,Married,2042,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2
20-Jan-21,103,37,Yes,Travel_Rarely,807,Human Resources,6,Master's Degree,Human Resources,1,133,STAFF-133,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2
28-Sep-21,26,32,No,Travel_Rarely,827,Research & Development,1,High School,Life Sciences,1,134,STAFF-134,4,Male,71,3,1,Research Scientist,1,Single,2956,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0
15-Mar-22,95,20,Yes,Travel_Frequently,871,Research & Development,6,Bachelor's Degree,Life Sciences,1,137,STAFF-137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0
21-Jul-22,43,34,No,Travel_Rarely,665,Research & Development,6,Master's Degree,Other,1,138,STAFF-138,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
30-Mar-21,36,37,No,Non-Travel,1040,Research & Development,2,Associates Degree,Life Sciences,1,139,STAFF-139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0
28-Feb-21,40,59,No,Non-Travel,1420,Human Resources,2,Master's Degree,Human Resources,1,140,STAFF-140,3,Female,32,2,5,Manager,4,Married,18844,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2
24-Oct-21,30,50,No,Travel_Frequently,1115,Research & Development,1,Bachelor's Degree,Life Sciences,1,141,STAFF-141,1,Female,73,3,5,Research Director,2,Married,18172,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7
28-Mar-21,58,25,Yes,Travel_Rarely,240,Sales,5,Bachelor's Degree,Marketing,1,142,STAFF-142,3,Male,46,2,2,Sales Executive,3,Single,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3
11-Jun-22,62,25,No,Travel_Rarely,1280,Research & Development,7,High School,Medical,1,143,STAFF-143,4,Male,64,2,1,Research Scientist,4,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1
12-Apr-22,118,22,No,Travel_Rarely,534,Research & Development,15,Bachelor's Degree,Medical,1,144,STAFF-144,2,Female,59,3,1,Laboratory Technician,4,Single,2871,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0
18-Sep-22,24,51,No,Travel_Frequently,1456,Research & Development,1,Master's Degree,Medical,1,145,STAFF-145,1,Female,30,2,3,Healthcare Representative,1,Single,7484,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8
28-May-22,108,34,Yes,Travel_Frequently,658,Research & Development,7,Bachelor's Degree,Life Sciences,1,147,STAFF-147,1,Male,66,1,2,Laboratory Technician,3,Single,6074,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6
